home_listing_id,name,availability,price,image[0].url,url,address.addr1,address.city,address.region,address.country,latitude,longitude,property_type,listing_type
7797495,VENTA TERRENO EN TANTI VILLA CARLOS PAZ,for_sale,60000.00 USD,https://static.tokkobroker.com/w_pics/7797495_80187649707341851366941850826170225740621048176271294320606592346097793800794.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797495,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.362161199999999,-64.544134499999998,land,for_sale_by_agent
7797499,SE VENDE LOTE CON EXCELENTES VISTAS,for_sale,62000.00 USD,https://static.tokkobroker.com/w_pics/7797499_33615512737965277087290710341832948246300493355546031187139050541543646788315.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797499,Argentina | Cordoba | Punilla | Villa Parque Siquiman,,,Argentina | Cordoba | Punilla | Villa Parque Siquiman,-31.364794199999998,-64.483523699999906,land,for_sale_by_agent
7797411,SE VENDE DEPARTAMENTO EN VILLA SANTA CRUZ DEL LAGO CON VISTA,for_sale,63000.00 USD,https://static.tokkobroker.com/w_pics/7797411_98024865445500726814650640951753087540068449690148041393866794239117661867138.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797411,Argentina | Cordoba | Punilla | Villa Santa Cruz Del Lago,,,Argentina | Cordoba | Punilla | Villa Santa Cruz Del Lago,-31.366545399999999,-64.523159800000001,apartment,for_sale_by_agent
7797391,SE VENDE TERRENO EN BECCIU VILLA CARLOS PAZ,for_sale,68000.00 USD,https://static.tokkobroker.com/w_pics/7797391_107903198867224787331681675167273959458839375912727539221196071258846110301781.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797391,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.412610922763498,-64.506230759999994,land,for_sale_by_agent
7797512,SE VENDE EXCELENTE LOTE EN COSTA AZUL VILLA CARLOS PAZ,for_sale,69000.00 USD,https://static.tokkobroker.com/w_pics/7797512_70453144843143145903194383840398100680082684996408647479897764393368698988328.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797512,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.390678965650437,-64.457991000000006,land,for_sale_by_agent
7797508,OPORTUNIDAD DE TERRENO EN COUNTRY CARLOS PAZ GOLF,for_sale,69200.00 USD,https://static.tokkobroker.com/w_pics/7797508_96169980305335088244383298357859036519822272536358510331264907532881323433287.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797508,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.483571999999998,-64.524149100000002,land,for_sale_by_agent
7797392,EN VENTA DEPARTAMENTO CENTRICO VILLA CARLOS PAZ,for_sale,75000.00 USD,https://static.tokkobroker.com/w_pics/7797392_43895599963548885371787640421412645541767735106967893298898043170360258697988.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797392,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.424036000000000,-64.499189799999996,apartment,for_sale_by_agent
7873427,Departamento en Centro,for_sale,78900.00 USD,https://static.tokkobroker.com/w_pics/7873427_19890331084750785405342716340903889597184930113288372496344953463782209105919.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7873427,Argentina | Cordoba | Punilla | Villa Carlos Paz | Centro,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Centro,-31.4270413,-64.4969416,apartment,for_sale_by_agent
7797494,IMPORTANTE LOTE FRENTE A LOS COUNTRIES ESTACION DEL CARMEN Y LAS CAÑITAS,for_sale,80000.00 USD,https://static.tokkobroker.com/w_pics/7797494_16912499848519972973814582738008170434658021157967492013295705676142894906972.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797494,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.489972466283173,-64.459325000000006,land,for_sale_by_agent
7797482,EN VENTA TERRENO HECTAREA ICHO CRUZ VILLA CARLOS PAZ,for_sale,80000.00 USD,https://static.tokkobroker.com/w_pics/7797482_112755379656713454305945711209624211410747641617245845381725620221637432889376.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797482,Argentina | Cordoba | Punilla | Villa Icho Cruz,,,Argentina | Cordoba | Punilla | Villa Icho Cruz,-31.486581300000000,-64.563869400000001,land,for_sale_by_agent
7797369,EN VENTA CASA EN VILLA DEL LAGO VILLA CARLOS PAZ,for_sale,82000.00 USD,https://static.tokkobroker.com/w_pics/7797369_98010596593029244685869047145532056472241070830842997538093715363715413413352.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797369,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,-31.393956700000000,-64.497870300000002,house,for_sale_by_agent
7797389,EN VENTA DEPARTAMENTO CENTRICO EN VILLA CARLOS PAZ,for_sale,82000.00 USD,https://static.tokkobroker.com/w_pics/7797389_44349328684278465173841410767440555387107046773897311160545915911333853652663.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797389,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.426680600000000,-64.497496799999993,apartment,for_sale_by_agent
7797397,IMPORTANTE OPORTUNIDAD DE PROPIEDAD EN VENTA EN TANTI,for_sale,85000.00 USD,https://static.tokkobroker.com/w_pics/7797397_36510740203380591779629818088051032750517640130614740729804011928348118988915.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797397,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.355972799999999,-64.587340099999906,land,for_sale_by_agent
7797455,SE VENDE CASA EN TANTI CERCANO A VILLA CARLOS PAZ,for_sale,85000.00 USD,https://static.tokkobroker.com/w_pics/7797455_48059191910258726076456835259268509532067446554480245224969918160990105409257.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797455,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.350576499999998,-64.615550900000002,house,for_sale_by_agent
7831132,CASA EN VENTA EN SANTA CRUZ DEL LAGO CON PILETA,for_sale,85000.00 USD,https://static.tokkobroker.com/w_pics/7831132_111084194113262157156507068195599014104012956429481442632392516757755587539327.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7831132,Argentina | Cordoba | Punilla | Villa Santa Cruz Del Lago,,,Argentina | Cordoba | Punilla | Villa Santa Cruz Del Lago,-31.3698639,-64.5190108,house,for_sale_by_agent
7797357,EN VENTA DEPARTAMENTO EN VILLA CARLOS PAZ,for_sale,90000.00 USD,https://static.tokkobroker.com/w_pics/7797357_49654217185531337752481608011286846608766977925903490635229812148909201409091.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797357,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.429577200000000,-64.496692299999907,apartment,for_sale_by_agent
7797415,OPORTUNIDAD ! DUPLEX CON COCHERA Y GAS NATURAL,for_sale,90000.00 USD,https://static.tokkobroker.com/w_pics/7797415_110176374268553857719840718867107265193740609345054889285519373696536038336600.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797415,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.430294700000001,-64.497260400000001,apartment,for_sale_by_agent
7797439,DEPARTAMENTO EN VENTA  A DOS CUADRAS DEL CENTRO DE VILLA CARLOS PAZ,for_sale,90000.00 USD,https://static.tokkobroker.com/w_pics/7797439_16032927893952579152048070385454412288421445011797953538111712979409401475551.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797439,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.424044802098070,-64.493336600000006,apartment,for_sale_by_agent
7797468,SE VENDE CASA EN VILLA CARLOS PAZ,for_sale,93000.00 USD,https://static.tokkobroker.com/w_pics/7797468_60307750902831679000467536035352463959496713252342510995951240466752675059186.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797468,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,-31.417509800000001,-64.512734999999906,house,for_sale_by_agent
7797363,SE VENDE CASA EN ESTANCIA VIEJA CARLOS PAZ,for_sale,95000.00 USD,https://static.tokkobroker.com/w_pics/7797363_85220209499703890083969884941807843147459100747943333252262664657952209623416.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797363,Argentina | Cordoba | Punilla | Estancia Vieja,,,Argentina | Cordoba | Punilla | Estancia Vieja,-31.385344973296454,-64.529747999999997,house,for_sale_by_agent
